Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.48280975739537996
100% Corpus,2,0.01,0.31,0.4440045174467871
100% Corpus,2,0.01,0.61,0.43264789579926094
100% Corpus,2,0.01,0.9099999999999999,0.4116606018049941
100% Corpus,2,0.01,symmetric,0.44769812562001776
100% Corpus,2,0.31,0.01,0.4884919946135732
100% Corpus,2,0.31,0.31,0.4815378691372116
100% Corpus,2,0.31,0.61,0.45088755127634883
100% Corpus,2,0.31,0.9099999999999999,0.4527133890648517
100% Corpus,2,0.31,symmetric,0.518074528164537
100% Corpus,2,0.61,0.01,0.5550359915068812
100% Corpus,2,0.61,0.31,0.4591909413462842
100% Corpus,2,0.61,0.61,0.4278342295315494
100% Corpus,2,0.61,0.9099999999999999,0.4848333996707789
100% Corpus,2,0.61,symmetric,0.48355537075780675
100% Corpus,2,0.9099999999999999,0.01,0.5278979811753914
100% Corpus,2,0.9099999999999999,0.31,0.43970257174431426
100% Corpus,2,0.9099999999999999,0.61,0.4777192975113662
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4740811524212368
100% Corpus,2,0.9099999999999999,symmetric,0.4655044889405092
100% Corpus,2,symmetric,0.01,0.4935145747508381
100% Corpus,2,symmetric,0.31,0.4522464292875005
100% Corpus,2,symmetric,0.61,0.399223029250871
100% Corpus,2,symmetric,0.9099999999999999,0.42845435916346447
100% Corpus,2,symmetric,symmetric,0.4753655474413215
100% Corpus,2,asymmetric,0.01,0.44560385313379847
100% Corpus,2,asymmetric,0.31,0.47787353246596587
100% Corpus,2,asymmetric,0.61,0.42398301935670724
100% Corpus,2,asymmetric,0.9099999999999999,0.4233109255803253
100% Corpus,2,asymmetric,symmetric,0.4796033653678943
100% Corpus,3,0.01,0.01,0.48191832372350224
100% Corpus,3,0.01,0.31,0.4454301395225751
100% Corpus,3,0.01,0.61,0.43264789579926094
100% Corpus,3,0.01,0.9099999999999999,0.4116606018049941
100% Corpus,3,0.01,symmetric,0.44769812562001776
100% Corpus,3,0.31,0.01,0.4884919946135732
100% Corpus,3,0.31,0.31,0.4815378691372116
100% Corpus,3,0.31,0.61,0.45088755127634883
100% Corpus,3,0.31,0.9099999999999999,0.4527133890648517
100% Corpus,3,0.31,symmetric,0.518074528164537
100% Corpus,3,0.61,0.01,0.5550359915068812
100% Corpus,3,0.61,0.31,0.4591909413462842
100% Corpus,3,0.61,0.61,0.4278342295315494
100% Corpus,3,0.61,0.9099999999999999,0.48236187683730947
100% Corpus,3,0.61,symmetric,0.48355537075780675
100% Corpus,3,0.9099999999999999,0.01,0.5245359339054928
100% Corpus,3,0.9099999999999999,0.31,0.43970257174431426
100% Corpus,3,0.9099999999999999,0.61,0.4777192975113662
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4740811524212368
100% Corpus,3,0.9099999999999999,symmetric,0.4655044889405092
100% Corpus,3,symmetric,0.01,0.4935145747508381
100% Corpus,3,symmetric,0.31,0.4522464292875005
100% Corpus,3,symmetric,0.61,0.4253220657840456
100% Corpus,3,symmetric,0.9099999999999999,0.42845435916346447
100% Corpus,3,symmetric,symmetric,0.4753655474413215
100% Corpus,3,asymmetric,0.01,0.44530967354023376
100% Corpus,3,asymmetric,0.31,0.47787353246596587
100% Corpus,3,asymmetric,0.61,0.42398301935670724
100% Corpus,3,asymmetric,0.9099999999999999,0.4233109255803253
100% Corpus,3,asymmetric,symmetric,0.478153069120476
100% Corpus,4,0.01,0.01,0.48280975739537996
100% Corpus,4,0.01,0.31,0.4454301395225751
100% Corpus,4,0.01,0.61,0.43004834723632834
100% Corpus,4,0.01,0.9099999999999999,0.4116606018049941
100% Corpus,4,0.01,symmetric,0.44769812562001776
100% Corpus,4,0.31,0.01,0.4884919946135732
100% Corpus,4,0.31,0.31,0.4815378691372116
100% Corpus,4,0.31,0.61,0.45088755127634883
100% Corpus,4,0.31,0.9099999999999999,0.4527133890648517
100% Corpus,4,0.31,symmetric,0.518074528164537
100% Corpus,4,0.61,0.01,0.5550359915068812
100% Corpus,4,0.61,0.31,0.4591909413462842
100% Corpus,4,0.61,0.61,0.4278342295315494
100% Corpus,4,0.61,0.9099999999999999,0.4848333996707789
100% Corpus,4,0.61,symmetric,0.48355537075780675
100% Corpus,4,0.9099999999999999,0.01,0.5243312037321931
100% Corpus,4,0.9099999999999999,0.31,0.43970257174431426
100% Corpus,4,0.9099999999999999,0.61,0.4777192975113662
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4740811524212368
100% Corpus,4,0.9099999999999999,symmetric,0.4655044889405092
100% Corpus,4,symmetric,0.01,0.4935145747508381
100% Corpus,4,symmetric,0.31,0.4522464292875005
100% Corpus,4,symmetric,0.61,0.4253220657840456
100% Corpus,4,symmetric,0.9099999999999999,0.4245163179399499
100% Corpus,4,symmetric,symmetric,0.47377945091626783
100% Corpus,4,asymmetric,0.01,0.44560385313379836
100% Corpus,4,asymmetric,0.31,0.47787353246596587
100% Corpus,4,asymmetric,0.61,0.42398301935670724
100% Corpus,4,asymmetric,0.9099999999999999,0.4233109255803253
100% Corpus,4,asymmetric,symmetric,0.478153069120476
