,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,2,0.01,0.01,0.48280975739537996
1,100% Corpus,2,0.01,0.31,0.4440045174467871
2,100% Corpus,2,0.01,0.61,0.43264789579926094
3,100% Corpus,2,0.01,0.9099999999999999,0.4116606018049941
4,100% Corpus,2,0.01,symmetric,0.44769812562001776
5,100% Corpus,2,0.31,0.01,0.4884919946135732
6,100% Corpus,2,0.31,0.31,0.4815378691372116
7,100% Corpus,2,0.31,0.61,0.45088755127634883
8,100% Corpus,2,0.31,0.9099999999999999,0.4527133890648517
9,100% Corpus,2,0.31,symmetric,0.518074528164537
10,100% Corpus,2,0.61,0.01,0.5550359915068812
11,100% Corpus,2,0.61,0.31,0.4591909413462842
12,100% Corpus,2,0.61,0.61,0.4278342295315494
13,100% Corpus,2,0.61,0.9099999999999999,0.4848333996707789
14,100% Corpus,2,0.61,symmetric,0.48355537075780675
15,100% Corpus,2,0.9099999999999999,0.01,0.5278979811753914
16,100% Corpus,2,0.9099999999999999,0.31,0.43970257174431426
17,100% Corpus,2,0.9099999999999999,0.61,0.4777192975113662
18,100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4740811524212368
19,100% Corpus,2,0.9099999999999999,symmetric,0.4655044889405092
20,100% Corpus,2,symmetric,0.01,0.4935145747508381
21,100% Corpus,2,symmetric,0.31,0.4522464292875005
22,100% Corpus,2,symmetric,0.61,0.399223029250871
23,100% Corpus,2,symmetric,0.9099999999999999,0.42845435916346447
24,100% Corpus,2,symmetric,symmetric,0.4753655474413215
25,100% Corpus,2,asymmetric,0.01,0.44560385313379847
26,100% Corpus,2,asymmetric,0.31,0.47787353246596587
27,100% Corpus,2,asymmetric,0.61,0.42398301935670724
28,100% Corpus,2,asymmetric,0.9099999999999999,0.4233109255803253
29,100% Corpus,2,asymmetric,symmetric,0.4796033653678943
30,100% Corpus,3,0.01,0.01,0.48191832372350224
31,100% Corpus,3,0.01,0.31,0.4454301395225751
32,100% Corpus,3,0.01,0.61,0.43264789579926094
33,100% Corpus,3,0.01,0.9099999999999999,0.4116606018049941
34,100% Corpus,3,0.01,symmetric,0.44769812562001776
35,100% Corpus,3,0.31,0.01,0.4884919946135732
36,100% Corpus,3,0.31,0.31,0.4815378691372116
37,100% Corpus,3,0.31,0.61,0.45088755127634883
38,100% Corpus,3,0.31,0.9099999999999999,0.4527133890648517
39,100% Corpus,3,0.31,symmetric,0.518074528164537
40,100% Corpus,3,0.61,0.01,0.5550359915068812
41,100% Corpus,3,0.61,0.31,0.4591909413462842
42,100% Corpus,3,0.61,0.61,0.4278342295315494
43,100% Corpus,3,0.61,0.9099999999999999,0.48236187683730947
44,100% Corpus,3,0.61,symmetric,0.48355537075780675
45,100% Corpus,3,0.9099999999999999,0.01,0.5245359339054928
46,100% Corpus,3,0.9099999999999999,0.31,0.43970257174431426
47,100% Corpus,3,0.9099999999999999,0.61,0.4777192975113662
48,100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4740811524212368
49,100% Corpus,3,0.9099999999999999,symmetric,0.4655044889405092
50,100% Corpus,3,symmetric,0.01,0.4935145747508381
51,100% Corpus,3,symmetric,0.31,0.4522464292875005
52,100% Corpus,3,symmetric,0.61,0.4253220657840456
53,100% Corpus,3,symmetric,0.9099999999999999,0.42845435916346447
54,100% Corpus,3,symmetric,symmetric,0.4753655474413215
55,100% Corpus,3,asymmetric,0.01,0.44530967354023376
56,100% Corpus,3,asymmetric,0.31,0.47787353246596587
57,100% Corpus,3,asymmetric,0.61,0.42398301935670724
58,100% Corpus,3,asymmetric,0.9099999999999999,0.4233109255803253
59,100% Corpus,3,asymmetric,symmetric,0.478153069120476
60,100% Corpus,4,0.01,0.01,0.48280975739537996
61,100% Corpus,4,0.01,0.31,0.4454301395225751
62,100% Corpus,4,0.01,0.61,0.43004834723632834
63,100% Corpus,4,0.01,0.9099999999999999,0.4116606018049941
64,100% Corpus,4,0.01,symmetric,0.44769812562001776
65,100% Corpus,4,0.31,0.01,0.4884919946135732
66,100% Corpus,4,0.31,0.31,0.4815378691372116
67,100% Corpus,4,0.31,0.61,0.45088755127634883
68,100% Corpus,4,0.31,0.9099999999999999,0.4527133890648517
69,100% Corpus,4,0.31,symmetric,0.518074528164537
70,100% Corpus,4,0.61,0.01,0.5550359915068812
71,100% Corpus,4,0.61,0.31,0.4591909413462842
72,100% Corpus,4,0.61,0.61,0.4278342295315494
73,100% Corpus,4,0.61,0.9099999999999999,0.4848333996707789
74,100% Corpus,4,0.61,symmetric,0.48355537075780675
75,100% Corpus,4,0.9099999999999999,0.01,0.5243312037321931
76,100% Corpus,4,0.9099999999999999,0.31,0.43970257174431426
77,100% Corpus,4,0.9099999999999999,0.61,0.4777192975113662
78,100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4740811524212368
79,100% Corpus,4,0.9099999999999999,symmetric,0.4655044889405092
80,100% Corpus,4,symmetric,0.01,0.4935145747508381
81,100% Corpus,4,symmetric,0.31,0.4522464292875005
82,100% Corpus,4,symmetric,0.61,0.4253220657840456
83,100% Corpus,4,symmetric,0.9099999999999999,0.4245163179399499
84,100% Corpus,4,symmetric,symmetric,0.47377945091626783
85,100% Corpus,4,asymmetric,0.01,0.44560385313379836
86,100% Corpus,4,asymmetric,0.31,0.47787353246596587
87,100% Corpus,4,asymmetric,0.61,0.42398301935670724
88,100% Corpus,4,asymmetric,0.9099999999999999,0.4233109255803253
89,100% Corpus,4,asymmetric,symmetric,0.478153069120476
