,GUID,Inicio,Segmento,Tiempo Medio Interacción,Tiempo primer contacto Agente,palabras_totales,dominancia,Fin
0,0001QaFD86W26R3A,2020-07-01 00:41:12,Chat - Afiliaciones,35.8,143.0,92,agente,2020-07-01 00:47:25
1,0001QaFD86W26RK7,2020-07-01 12:09:07,Chat - Afiliaciones,17.666666666666668,3.0,94,agente,2020-07-01 12:11:55
2,0001QaFD86W26RSJ,2020-07-01 12:28:54,Chat - Afiliaciones,19.625,2.0,77,agente,2020-07-01 12:32:01
3,0001QaFD86W26RWN,2020-07-01 12:40:40,Chat - Afiliaciones,20.125,3.0,172,agente,2020-07-01 12:43:28
4,0001QaFD86W26S79,2020-07-01 13:01:44,Chat - Salud,53.75,68.0,35,agente,2020-07-01 13:09:29
5,0001QaFD86W26SFT,2020-07-01 13:24:07,Chat - Afiliaciones,17.9,3.0,138,agente,2020-07-01 13:27:14
6,0001QaFD86W26SX7,2020-07-01 13:54:47,Chat - Afiliaciones,160.14285714285714,554.0,237,agente,2020-07-01 14:13:48
7,0001QaFD86W26T7P,2020-07-01 14:15:14,Chat - Salud,83.375,75.0,74,agente,2020-07-01 14:26:38
8,0001QaFD86W26T9J,2020-07-01 14:20:25,Chat - Afiliaciones,330.77777777777777,2310.0,35,agente,2020-07-01 15:12:19
9,0001QaFD86W26TN9,2020-07-01 14:45:35,Chat - Salud,29.44444444444445,83.0,105,agente,2020-07-01 14:52:17
10,0001QaFD86W26VU3,2020-07-01 16:40:04,Chat - Afiliaciones,312.5,2260.0,234,agente,2020-07-01 17:21:55
11,0001QaFD86W26VUR,2020-07-01 16:41:34,Chat - Salud,25.875,3.0,70,agente,2020-07-01 16:47:24
12,0001QaFD86W26WEK,2020-07-01 17:12:42,Chat - Salud,35.56521739130435,113.0,133,agente,2020-07-01 17:26:48
13,0001QaFD86W26X4J,2020-07-01 17:48:52,Chat - Afiliaciones,140.1,1934.0,127,agente,2020-07-01 18:35:50
14,0001QaFD86W26XQA,2020-07-01 18:28:49,Chat - Salud,14.833333333333336,4.0,260,agente,2020-07-01 18:36:30
15,0001QaFD86W271DC,2020-07-01 21:40:28,Chat - Afiliaciones,346.33333333333326,94.0,42,agente,2020-07-01 22:15:17
16,0001QaFD86W2729T,2020-07-01 23:10:26,Chat - Afiliaciones,121.2,,37,cliente,2020-07-01 23:27:25
17,0001QaFD86W272EE,2020-07-01 23:23:32,Chat - Afiliaciones,48.29411764705882,446.0,187,agente,2020-07-01 23:37:22
18,0001QaFD86W272EJ,2020-07-01 23:23:40,Chat - Salud,141.6,80.0,140,agente,2020-07-01 23:47:54
19,0001QaFD86W272RR,2020-07-01 23:56:25,Chat - Afiliaciones,59.941176470588225,12.0,327,agente,2020-07-02 00:13:34
20,0001QaFD86W272SG,2020-07-01 23:57:24,Chat - Afiliaciones,159.6,610.0,28,agente,2020-07-02 00:13:12
21,0001QaFD86W2735W,2020-07-02 11:24:17,Chat - Salud,23.275,71.0,282,agente,2020-07-02 11:40:02
22,0001QaFD86W2744D,2020-07-02 13:32:17,Chat - Afiliaciones,46.8,3.0,31,agente,2020-07-02 13:36:23
23,0001QaFD86W2746D,2020-07-02 13:36:52,Chat - Salud,23.41666666666667,92.0,412,agente,2020-07-02 13:48:52
24,0001QaFD86W27475,2020-07-02 13:38:12,Chat - Afiliaciones,74.66666666666667,32.0,31,agente,2020-07-02 13:45:47
25,0001QaFD86W274CX,2020-07-02 13:53:17,Chat - Afiliaciones,111.33333333333331,15.0,32,agente,2020-07-02 14:04:39
26,0001QaFD86W274GH,2020-07-02 14:02:08,Chat - Afiliaciones,87.16666666666669,23.0,33,agente,2020-07-02 14:11:18
27,0001QaFD86W275EU,2020-07-02 15:00:40,Chat - Afiliaciones,101.6153846153846,1000.0,410,agente,2020-07-02 15:47:09
28,0001QaFD86W275MN,2020-07-02 15:13:57,Chat - Salud,30.1,3.0,135,agente,2020-07-02 15:24:08
29,0001QaFD86W276B2,2020-07-02 16:00:14,Chat - Afiliaciones,162.9047619047619,4.0,413,agente,2020-07-02 17:07:29
30,0001QaFD86W276K4,2020-07-02 16:19:32,Chat - Afiliaciones,123.7391304347826,194.0,541,agente,2020-07-02 17:07:29
31,0001QaFD86W276R5,2020-07-02 16:30:16,Chat - Afiliaciones,271.75,184.0,166,agente,2020-07-02 17:24:45
32,0001QaFD86W277GN,2020-07-02 17:12:03,Chat - Salud,64.83333333333333,54.0,65,agente,2020-07-02 17:19:29
33,0001QaFD86W277WN,2020-07-02 17:33:06,Chat - Salud,56.92307692307693,270.0,124,agente,2020-07-02 17:46:39
34,0001QaFD86W278MB,2020-07-02 18:21:15,Chat - Afiliaciones,419.57142857142856,61.0,41,agente,2020-07-02 19:10:20
35,0001QaFD86W278U9,2020-07-02 18:34:47,Chat - Afiliaciones,389.0,10.0,42,agente,2020-07-02 19:13:54
36,0001QaFD86W279ME,2020-07-02 19:24:50,Chat - Afiliaciones,325.6,3.0,41,agente,2020-07-02 19:52:12
37,0001QaFD86W279QX,2020-07-02 19:32:40,Chat - Afiliaciones,128.63636363636363,830.0,150,agente,2020-07-02 19:56:29
38,0001QaFD86W279X9,2020-07-02 19:46:15,Chat - Salud,30.5,3.0,125,agente,2020-07-02 19:59:29
39,0001QaFD86W27A6Y,2020-07-02 20:01:00,Chat - Salud,24.61111111111111,4.0,234,agente,2020-07-02 20:08:37
40,0001QaFD86W27AK3,2020-07-02 20:34:14,Chat - Salud,25.375,2.0,67,agente,2020-07-02 20:37:45
41,0001QaFD86W27AMB,2020-07-02 20:36:14,Chat - Salud,27.952380952380953,59.0,126,agente,2020-07-02 20:46:19
42,0001QaFD86W27ARA,2020-07-02 20:45:04,Chat - Salud,23.66666666666667,14.0,347,agente,2020-07-02 20:49:44
43,0001QaFD86W27B3B,2020-07-02 21:02:46,Chat - Salud,103.75,229.0,185,agente,2020-07-02 21:17:09
44,0001QaFD86W27BD4,2020-07-02 21:32:54,Chat - Afiliaciones,261.85714285714283,59.0,64,agente,2020-07-02 22:03:46
45,0001QaFD86W27BXP,2020-07-02 22:12:39,Chat - Salud,93.0,128.0,106,agente,2020-07-02 22:34:11
